Ref,Val,Package,PosX,PosY,Rot,Side
"C12","470uF 6.3V","CP_Elec_6.3x7.7",117.856000,-102.870000,270.000000,top
"C18","470uF 6.3V","CP_Elec_6.3x7.7",117.856000,-22.098000,270.000000,top
"D4","1N4007","D_SMA",125.984000,-55.118000,90.000000,top
"D6","Zener 3.6V","D_MiniMELF_Handsoldering",121.412000,-35.212000,90.000000,top
"D8","Zener 5.1V","D_MiniMELF_Handsoldering",123.400000,-61.214000,180.000000,top
"D14","1N4007","D_SMA",171.704000,-66.548000,180.000000,top
"D20","1N4007","D_SMA",171.704000,-62.484000,180.000000,top
"D30","1N4007","D_SMA",175.006000,-92.456000,0.000000,top
"D31","1N4007","D_SMA",174.752000,-84.074000,0.000000,top
"D32","1N4007","D_SMA",174.752000,-75.184000,0.000000,top
"D33","1N4148WS","D_SOD-323",189.484000,-82.008000,90.000000,top
"D34","BZX84C39","D_SOT-23_ANK",187.690000,-78.552000,0.000000,top
"D39","1N4148WS","D_SOD-323",189.484000,-90.678000,90.000000,top
"D40","1N4148WS","D_SOD-323",189.484000,-99.822000,90.000000,top
"D41","BZX84C39","D_SOT-23_ANK",188.214000,-87.122000,0.000000,top
"D42","BZX84C39","D_SOT-23_ANK",188.214000,-95.758000,0.000000,top
"D43","1N4148WS","D_SOD-323",189.484000,-72.644000,90.000000,top
"D46","BZX84C39","D_SOT-23_ANK",187.706000,-69.088000,0.000000,top
"F1","PPTC 16V2A","R_1812_4532Metric_Pad1.30x3.40mm_HandSolder",125.730000,-48.768000,180.000000,top
"F2","PPTC 16V2A","R_1812_4532Metric_Pad1.30x3.40mm_HandSolder",176.530000,-43.180000,0.000000,top
"R7","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-70.358000,180.000000,top
"R17","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-73.152000,180.000000,top
"R38","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-75.946000,180.000000,top
"R58","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-77.470000,180.000000,top
"R62","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-83.058000,180.000000,top
"R63","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-85.852000,180.000000,top
"R70","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",196.596000,-46.228000,90.000000,top
"R71","10R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",193.802000,-46.228000,90.000000,top
"U3","TL431DBZ","SOT-23",117.348000,-35.092000,0.000000,top
"U5","TJA1050","SO-8_5.3x6.2mm_P1.27mm",181.102000,-104.140000,270.000000,top
"U6","MAX3232","SOIC-16_4.55x10.3mm_P1.27mm",124.460000,-86.614000,0.000000,top
"U7","MIC4427","SO-8_3.9x4.9mm_P1.27mm",159.512000,-72.136000,0.000000,top
"U8","MIC4427","SO-8_3.9x4.9mm_P1.27mm",159.512000,-78.867000,0.000000,top
"U9","MIC4427","SO-8_3.9x4.9mm_P1.27mm",159.512000,-85.598000,0.000000,top
"U10","MIC4427","SO-8_3.9x4.9mm_P1.27mm",192.786000,-36.322000,0.000000,top
