Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D35,1N4148WS,D_SOD-323,187.706,-54.864,0,bottom
D36,1N4148WS,D_SOD-323,189.196,-35.052,-90,bottom
D37,BZX84C39,D_SOT-23_ANK,191.278,-57.15,-90,bottom
D38,BZX84C39,D_SOT-23_ANK,193.31,-35.052,-90,bottom
D44,1N4148WS,D_SOD-323,188.722,-44.958,-90,bottom
D45,1N4148WS,D_SOD-323,189.992,-25.654,-90,bottom
D47,BZX84C39,D_SOT-23_ANK,192.802,-44.45,-90,bottom
D48,BZX84C39,D_SOT-23_ANK,194.04,-25.974,-90,bottom
Q10,BSP78,SOT223,191.008,-59.69,0,bottom
Q11,BSP78,SOT223,191.008,-40.132,0,bottom
Q13,BSP78,SOT223,191.008,-86.868,0,bottom
Q14,BSP78,SOT223,191.008,-96.012,0,bottom
Q18,BSP78,SOT223,191.008,-77.978,0,bottom
Q19,BSP78,SOT223,191.008,-68.834,0,bottom
Q20,BSP78,SOT223,191.008,-49.784,0,bottom
Q21,BSP78,SOT223,191.008,-30.734,0,bottom
R43,100R,R0603,188.468,-91.186,180,bottom
R48,100R,R0603,188.214,-100.33,180,bottom
R51,100R,R0603,188.722,-73.406,180,bottom
R52,100R,R0603,188.468,-82.042,180,bottom
C1,100nf,C0603,156.464,-47.752,0,top
C2,100nf,C0603,148.336,-19.812,90,top
C3,220nf,C0603,156.464,-40.132,0,top
C4,220nf,C0603,145.796,-19.7994,90,top
C5,1nf,C0603,128.27,-66.294,0,top
C6,10uf,C1206,120.65,-53.34,0,top
C7,1nf,C0603,128.778,-75.184,180,top
C8,220nf,C0603,116.586,-53.34,90,top
C9,100nf,C0603,132.842,-19.812,-90,top
C10,100nf,C0603,155.956,-24.638,90,top
C11,220nf,C0603,127.762,-19.812,90,top
C12,470uF 6.3V,CP_Elec_6.3x7.7,117.856,-102.87,90,top
C13,100nf,C0603,132.842,-24.384,90,top
C14,220nf,C0603,145.796,-24.638,90,top
C15,10uf,C1206,120.65,-57.404,0,top
C16,220nf,C0603,127.762,-24.384,90,top
C17,220nf,C0603,116.586,-57.658,-90,top
C18,470uF 6.3V,CP_Elec_6.3x7.7,117.856,-22.098,90,top
C19,100nf,C0603,162.052,-47.752,0,top
C20,220nf,C0603,162.052,-45.212,0,top
C21,100nf,C0603,145.796,-42.672,0,top
C22,100nf,C0603,169.164,-22.098,90,top
C23,220nf,C0603,145.796,-40.132,0,top
C24,220nf,C0603,166.37,-22.098,90,top
C25,100nf,C0603,140.2259,-45.212,0,top
C26,100nf,C0603,151.13,-42.672,0,top
C27,220nf,C0603,140.2259,-40.132,0,top
C28,220nf,C0603,151.13,-40.132,180,top
C29,100nf,C0603,116.078,-88.392,90,top
C30,100nf,C0603,116.078,-84.836,90,top
C31,100nf,C0603,118.618,-84.836,-90,top
C32,100nf,C0603,118.618,-88.392,-90,top
D1,BAT54S,SOT23,138.176,-102.11,0,top
D2,BAT54S,SOT23,141.859,-19.812,0,top
D3,BAT54S,SOT23,156.464,-36.322,-90,top
D4,1N4007,D_SMA,125.984,-55.118,90,top
D5,BAT54S,SOT23,138.176,-106.172,0,top
D6,Zener 3.6V,D_MiniMELF_Handsoldering,121.412,-35.212,0,top
D7,BAT54S,SOT23,124.079,-19.812,0,top
D8,Zener 5.1V,D_MiniMELF_Handsoldering,123.4,-61.214,90,top
D9,BAT54S,SOT23,141.8286,-24.5619,0,top
D10,BAT54S,SOT23,124.079,-24.384,0,top
D11,BAT54S,SOT23,150.876,-102.108,0,top
D12,BAT54S,SOT23,131.826,-90.17,90,top
D13,YEL,LED-0603,202.438,-105.41,90,top
D14,1N4007,D_SMA,171.704,-66.548,180,top
D15,BAT54S,SOT23,162.052,-36.322,-90,top
D16,BAT54S,SOT23,145.796,-36.322,-90,top
D17,BAT54S,SOT23,162.517,-23.749,0,top
D18,YEL,LED-0603,204.216,-105.41,90,top
D19,BAT54S,SOT23,151.13,-36.322,-90,top
D20,1N4007,D_SMA,171.704,-62.484,180,top
D21,BAT54S,SOT23,140.208,-36.322,-90,top
D22,BAT54S,SOT23,150.876,-106.172,0,top
D24,BAT54S,SOT23,132.588,-101.6,-90,top
D26,YEL,LED-0603,198.882,-105.41,90,top
D27,YEL,LED-0603,197.104,-105.41,90,top
D28,YEL,LED-0603,200.66,-105.41,90,top
D29,YEL,LED-0603,165.862,-19.05,180,top
D30,1N4007,D_SMA,175.006,-92.456,0,top
D31,1N4007,D_SMA,174.752,-84.074,0,top
D32,1N4007,D_SMA,174.752,-75.184,0,top
D33,1N4148WS,D_SOD-323,189.484,-82.008,0,top
D34,BZX84C39,D_SOT-23_ANK,187.69,-78.552,-90,top
D39,1N4148WS,D_SOD-323,189.484,-90.678,0,top
D40,1N4148WS,D_SOD-323,189.484,-99.822,0,top
D41,BZX84C39,D_SOT-23_ANK,188.214,-87.122,-90,top
D42,BZX84C39,D_SOT-23_ANK,188.214,-95.758,-90,top
D43,1N4148WS,D_SOD-323,189.484,-72.644,0,top
D46,BZX84C39,D_SOT-23_ANK,187.706,-69.088,-90,top
F1,PPTC 16V2A,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,125.73,-48.768,180,top
F2,PPTC 16V2A,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,176.53,-43.18,0,top
Q1,AO3400,SOT-23,164.592,-66.548,180,top
Q6,AO3400,SOT-23,164.592,-62.484,180,top
Q7,AO3400,SOT-23,159.004,-90.17,180,top
Q12,AO3400,SOT-23,158.496,-20.066,90,top
Q15,BSP78,SOT223,179.832,-71.374,0,top
Q16,BSP78,SOT223,179.832,-88.646,0,top
Q17,BSP78,SOT223,179.832,-80.264,0,top
R1,2k49,R0603,150.876,-19.812,90,top
R3,1k,R0603,118.872,-64.516,-90,top
R4,470R,R0603,156.464,-50.292,180,top
R5,10k,R0603,145.796,-102.108,-90,top
R6,470R,R0603,153.416,-19.812,-90,top
R7,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-70.358,0,top
R8,470R,R0603,118.872,-70.358,90,top
R9,4k7,R0603,156.464,-42.672,180,top
R10,9k1,R0603,156.464,-45.23,0,top
R11,10k,R0603,128.27,-63.5,0,top
R12,1k,R0603,123.444,-66.294,0,top
R13,10k,R0603,123.444,-63.754,0,top
R14,10k,R0603,123.444,-77.724,0,top
R15,1k,R0603,123.444,-75.184,0,top
R16,10k,R0603,145.796,-106.172,-90,top
R17,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-73.152,0,top
R18,470R,R0603,118.872,-76.962,90,top
R19,10k,R0603,128.778,-77.724,180,top
R20,0R0,R0603,171.958,-36.576,0,top
R21,1k,R0603,123.444,-80.264,180,top
R22,2k49,R0603,135.382,-24.384,-90,top
R23,470R,R0603,130.302,-19.812,90,top
R24,470R,R0603,148.336,-24.638,-90,top
R25,4k7,R0603,137.922,-19.812,-90,top
R26,9k1,R0603,135.382,-19.812,-90,top
R27,470R,R0603,130.302,-24.384,-90,top
R28,4k7,R0603,150.876,-24.638,90,top
R29,9k1,R0603,153.416,-24.638,90,top
R30,1k8,R0603,118.618,-39.116,90,top
R31,2k49,R0603,118.618,-31.496,90,top
R32,1k,R0603,157.48,-102.108,90,top
R33,470R,R0603,202.438,-102.362,90,top
R34,100R,R0603,158.242,-66.548,90,top
R35,1k,R0603,154.94,-102.108,-90,top
R36,10k,R0603,160.782,-66.548,-90,top
R37,470R,R0603,131.826,-83.82,0,top
R38,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-75.946,0,top
R39,100R,R0603,172.72,-39.116,0,top
R40,100R,R0603,179.832,-39.116,0,top
R41,470R,R0603,162.052,-50.292,180,top
R42,2k49,R0603,145.796,-47.752,180,top
R44,33k,R0603,177.292,-22.098,-90,top
R45,5k1,R0603,171.958,-22.098,90,top
R46,4k7,R0603,162.052,-40.132,0,top
R47,9k1,R0603,162.052,-42.672,0,top
R49,470R,R0603,145.796,-45.212,180,top
R50,470R,R0603,174.752,-22.098,-90,top
R53,100R,R0603,176.276,-39.116,0,top
R54,100R,R0603,183.388,-39.116,0,top
R55,470R,R0603,204.216,-102.3348,90,top
R56,100R,R0603,158.242,-62.484,90,top
R57,2k49,R0603,151.13,-47.752,0,top
R58,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-77.47,0,top
R59,10k,R0603,160.782,-62.484,-90,top
R60,470R,R0603,140.2259,-42.672,180,top
R61,470R,R0603,151.13,-45.212,180,top
R62,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-83.058,0,top
R63,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,165.1,-85.852,0,top
R64,470R,R0603,130.048,-102.616,-90,top
R65,1k,R0603,163.068,-90.17,-90,top
R66,10k,R0603,154.94,-89.916,90,top
R67,100R,R0603,151.892,-89.916,-90,top
R68,1k,R0603,174.498,-101.346,90,top
R69,1k,R0603,177.038,-101.346,90,top
R70,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,196.596,-46.228,90,top
R71,10R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,193.802,-46.228,90,top
R74,120R,R0603,192.024,-106.68,0,top
R75,220R,R0603,198.882,-102.362,90,top
R76,100R,R0603,197.104,-102.362,90,top
R77,470R,R0603,200.66,-102.362,90,top
R78,100R,R0603,162.052,-19.05,180,top
R79,10k,R0603,174.752,-36.322,90,top
R80,10k,R0603,179.832,-36.322,90,top
R81,10k,R0603,185.928,-90.678,90,top
R82,10k,R0603,185.928,-99.822,-90,top
R83,100R,R0603,170.942,-71.438,90,top
R84,100R,R0603,171.125,-88.416,-90,top
R85,100R,R0603,170.942,-80.518,-90,top
R86,10k,R0603,173.736,-71.374,90,top
R87,10k,R0603,173.725,-88.387,-90,top
R88,10k,R0603,173.736,-80.518,-90,top
R89,10k,R0603,185.928,-82.042,-90,top
R90,10k,R0603,185.928,-72.39,-90,top
R91,10k,R0603,177.292,-36.322,90,top
R92,10k,R0603,182.372,-36.32,90,top
U1,MAX9926UAEE+,21-0055H_16,125.984,-70.866,-90,top
U3,TL431DBZ,SOT-23,117.348,-35.092,90,top
U5,TJA1050,SO-8_5.3x6.2mm_P1.27mm,181.102,-104.14,180,top
U6,MAX3232,SOIC-16_4.55x10.3mm_P1.27mm,124.46,-86.614,180,top
U7,MIC4427,SO-8_3.9x4.9mm_P1.27mm,159.512,-72.136,-90,top
U8,MIC4427,SO-8_3.9x4.9mm_P1.27mm,159.512,-78.867,-90,top
U9,MIC4427,SO-8_3.9x4.9mm_P1.27mm,159.512,-85.598,-90,top
U10,MIC4427,SO-8_3.9x4.9mm_P1.27mm,192.786,-36.322,-90,top
